# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	300
#@/user_id	4e81eb2f-72be-409f-8ad9-dab55510c07f
a 	啊	c=2 d=1.98511 t=144
an 	安	c=6 d=4.03162 t=216
bai du 	百度	c=0 d=0.1 t=284
bai du yun 	百度雲	c=1 d=1 t=285
bai su zhen 	白素貞	c=1 d=1 t=297
bai wan 	百萬	c=0 d=0.1 t=77
bai wan fen si 	百萬粉絲	c=1 d=1 t=78
bang wo 	幫我	c=1 d=1 t=157
bao 	包	c=1 d=1 t=281
bao an 	保安	c=1 d=1 t=177
biao qing 	表情	c=2 d=1.42528 t=280
biao zhun 	標準	c=1 d=1 t=88
bu 	不	c=0 d=0.1 t=36
bu da 	不大	c=1 d=1 t=279
bu fu za 	不複雜	c=1 d=1 t=37
bu hao 	不好	c=0 d=0.1 t=218
bu hao zheng 	不好整	c=1 d=1 t=219
bu shi 	不是	c=1 d=1 t=111
bu zai 	不在	c=1 d=0.931104 t=173
cao 	草	c=1 d=1 t=207
cha jian 	插件	c=1 d=1 t=283
che shang 	車上	c=1 d=1 t=82
chi 	持	c=1 d=1 t=240
chi fan 	吃飯	c=1 d=1 t=202
chong 	重	c=1 d=1 t=90
chong chong 	沖沖	c=1 d=1 t=89
chu 	出	c=1 d=1 t=287
chu lai 	出來	c=2 d=1.95123 t=264
chu qu 	出去	c=1 d=1 t=213
chuo yi chuo 	戳一戳	c=1 d=1 t=194
cuo zi 	錯字	c=0 d=0.1 t=97
da 	打	c=0 d=0.1 t=97
da bu tong 	打不通	c=1 d=1 t=153
da cuo zi 	打錯字	c=1 d=1 t=98
da tong 	打通	c=1 d=1 t=155
da tong lu 	大同路	c=1 d=1 t=154
da xiao 	大小	c=1 d=1 t=262
dan 	但	c=0 d=0.1 t=67
dan fan fu 	但反覆	c=1 d=1 t=68
dao 	到	c=1 d=1 t=257
dao chu 	導出	c=1 d=1 t=43
dao le 	到了	c=1 d=1 t=256
dao ru 	導入	c=1 d=1.09501 t=49
de 	的	c=5 d=3.45254 t=184
deng ha 	等哈	c=1 d=1 t=211
deng zhe 	等着	c=1 d=1 t=200
dian 	點	c=1 d=1 t=276
dou 	都	c=3 d=1.7312 t=205
dou mei 	都沒	c=1 d=1 t=230
dou mei chi 	都沒吃	c=1 d=1 t=206
dou shi 	都是	c=1 d=1 t=293
dou zhe yang 	都這樣	c=1 d=1 t=103
du guai 	賭怪	c=5 d=4.26643 t=85
du guo 	度過	c=0 d=0.1 t=14
du guo you 	度過有	c=1 d=1 t=15
dui 	對	c=1 d=1 t=234
duo ge 	多個	c=1 d=1 t=39
en en 	嗯嗯	c=1 d=1 t=150
fa 	法	c=1 d=1 t=8
fa xian 	發現	c=1 d=1 t=196
fan fu 	反覆	c=0 d=0.1 t=67
fei zhu 	飛豬	c=2 d=1.99005 t=69
fen si 	粉絲	c=0 d=0.1 t=77
fu za 	複雜	c=0 d=0.1 t=36
gao 	搞	c=1 d=1 t=31
gao ji 	搞基	c=1 d=1 t=61
ge 	各	c=1 d=1 t=197
gong neng 	功能	c=1 d=1 t=289
gu ge 	谷歌	c=2 d=1.99005 t=75
ha ha 	哈哈	c=1 d=1 t=110
hai 	嗨	c=1 d=1 t=84
hai xing 	還行	c=0 d=0.1 t=70
hai xiu 	害羞	c=1 d=1 t=107
hao 	好	c=1 d=1 t=128
hao 	浩	c=1 d=1 t=127
hao 	號	c=0 d=0.1 t=69
hao de 	好的	c=1 d=1 t=235
hao ma 	好嘛	c=2 d=1.70822 t=199
hei 	黑	c=1 d=1 t=198
hen zheng chang 	很正常	c=1 d=1 t=99
hou xuan 	候選	c=0 d=0.1 t=259
hou xuan zi 	候選字	c=2 d=1.82283 t=299
huan 	換	c=1 d=1 t=100
huan 	還	c=1 d=1 t=94
ji di 	基地	c=1 d=1 t=62
ji ge ren 	幾個人	c=1 d=1 t=170
ji lou 	幾樓	c=1 d=1 t=119
jia 	加	c=1 d=1 t=25
jia 	家	c=1 d=1 t=175
jiao tong 	交通	c=1 d=1 t=239
jiao you 	交友	c=1 d=1 t=29
jin bu qu 	進不去	c=1 d=1 t=147
jin tian 	今天	c=1 d=1 t=124
jiu 	就	c=1 d=1.099 t=58
jiu shi 	就是	c=1 d=1 t=193
jiu wan shang 	就晚上	c=1 d=1 t=57
kan 	看	c=2 d=1.38868 t=245
ke 	可	c=0 d=0.1 t=70
