# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50309
#@/user_id	d1e9347d-3da2-40c9-ae30-f3f46160b0bf
a 	啊	c=268 d=4.75122 t=50309
a a 	啊啊	c=1 d=6.15992e-36 t=50309
a a a 	啊啊啊	c=1 d=5.50027e-27 t=50309
a li 	阿里	c=8 d=1.60966e-12 t=50309
a li yun 	阿里雲	c=5 d=5.90631e-12 t=50309
a lun 	阿倫	c=1 d=1 t=50200
a si 	阿肆	c=1 d=1.2336e-58 t=50309
a zhe 	阿哲	c=1 d=1.79707e-43 t=50309
ai 	哎	c=1 d=7.09766e-56 t=50309
ai 	唉	c=42 d=0.00474006 t=50309
ai 	愛	c=32 d=2.48085e-05 t=50309
ai da 	捱打	c=1 d=4.99143e-32 t=50309
ai hao 	愛好	c=6 d=6.89675e-28 t=50309
ai he 	愛河	c=1 d=4.34761e-25 t=50309
ai le 	愛了	c=3 d=0.00734048 t=50309
ai le 	捱了	c=1 d=4.14333e-47 t=50309
ai lun 	艾倫	c=1 d=6.53193e-20 t=50309
ai ni 	愛你	c=2 d=1.12942e-20 t=50309
ai qing 	愛情	c=1 d=8.4103e-23 t=50309
ai ya 	哎呀	c=1 d=8.77562e-82 t=50309
ai zhe 	挨着	c=5 d=7.35679e-17 t=50309
an 	俺	c=1 d=1.25339e-10 t=50309
an 	安	c=1 d=3.23959e-64 t=50309
an 	按	c=13 d=0.932394 t=50309
an 	案	c=1 d=1.25967e-10 t=50309
an an 	安安	c=2 d=1.06276e-10 t=50309
an an jing jing 	安安靜靜	c=1 d=6.7144e-50 t=50309
an dao li 	按道理	c=2 d=1.02403e-44 t=50309
an jing 	安靜	c=2 d=4.61489e-21 t=50309
an lian 	暗戀	c=1 d=4.22604e-103 t=50309
an mian yao 	安眠藥	c=1 d=1.07029e-05 t=50309
an niu 	按鈕	c=40 d=1.0153e-32 t=50309
an pai 	安排	c=1 d=8.84e-21 t=50309
an quan 	安全	c=3 d=7.43874e-20 t=50309
an wei 	安慰	c=1 d=2.7985e-48 t=50309
an xin 	安心	c=1 d=0.000122794 t=50309
an yao 	俺要	c=1 d=8.04433e-29 t=50309
an yi 	安逸	c=2 d=3.73046e-18 t=50309
an yu 	暗語	c=1 d=3.02427e-49 t=50309
an yu xian zhuang 	安於現狀	c=1 d=5.87547e-68 t=50309
an zhao 	按照	c=21 d=1.03104e-11 t=50309
an zhong 	暗中	c=1 d=1.37474e-09 t=50309
an zhuang 	安裝	c=30 d=1.38173e-09 t=50309
an zhuo 	安卓	c=8 d=4.65337e-29 t=50309
ao 	奧	c=1 d=2.64173e-105 t=50309
ao 	熬	c=1 d=2.07424e-54 t=50309
ao te man 	奧特曼	c=1 d=3.90283e-20 t=50309
ao tu 	凹凸	c=1 d=1.03989e-19 t=50309
ao ye 	熬夜	c=5 d=3.51281e-18 t=50309
ba 	八	c=2 d=1.03412e-76 t=50309
ba 	吧	c=73 d=1.20284 t=50309
ba 	巴	c=5 d=4.48703e-14 t=50309
ba 	把	c=66 d=1.88899e-11 t=50309
ba 	拔	c=1 d=5.25092e-40 t=50309
ba ba 	爸爸	c=2 d=3.74533e-06 t=50309
ba bu de 	巴不得	c=1 d=9.28533e-11 t=50309
ba cheng 	八成	c=1 d=1.67415e-33 t=50309
ba da 	八大	c=1 d=8.79386e-77 t=50309
ba dao 	拔刀	c=2 d=0.172045 t=50309
ba gu wen 	八股文	c=1 d=4.52629e-87 t=50309
ba gua 	八卦	c=1 d=1.40682e-45 t=50309
ba le 	罷了	c=9 d=1.53141e-14 t=50309
ba lun 	八論	c=1 d=1.5425e-40 t=50309
ba shuo 	霸說	c=1 d=5.78111e-54 t=50309
ba ta 	把它	c=1 d=1.23171e-40 t=50309
ba wang 	霸王	c=1 d=1.32304e-58 t=50309
ba wo 	把握	c=6 d=0.000731802 t=50309
ba zhang 	巴掌	c=1 d=7.57304e-54 t=50309
bai 	白	c=5 d=3.59848e-06 t=50309
bai cao yuan 	百草園	c=1 d=2.33798e-21 t=50309
bai du 	百度	c=10 d=8.72054e-08 t=50309
bai du yun 	百度雲	c=1 d=5.30172e-65 t=50309
bai fen bi 	百分比	c=1 d=8.8563e-72 t=50309
bai gei 	白給	c=1 d=7.71158e-32 t=50309
bai guang 	白光	c=1 d=2.70593e-64 t=50309
bai ke 	百科	c=1 d=1.47257e-53 t=50309
bai piao 	白醥	c=7 d=3.93204e-06 t=50309
bai se 	白色	c=1 d=6.62817e-45 t=50309
bai tian 	白天	c=4 d=2.42269e-18 t=50309
bai tuo 	拜託	c=1 d=1.5486e-57 t=50309
bai tuo 	擺脫	c=1 d=1.54087e-57 t=50309
bai xue 	白學	c=1 d=2.70455e-58 t=50309
bai zhe 	敗者	c=1 d=1 t=49936
bai zhi 	白紙	c=1 d=1.04447e-100 t=50309
ban 	半	c=5 d=3.48461e-09 t=50309
ban 	搬	c=4 d=4.39129e-16 t=50309
ban 	版	c=7 d=0.454766 t=50309
ban 	班	c=1 d=2.02021e-67 t=50309
ban 	辦	c=17 d=0.35783 t=50309
ban ben 	版本	c=46 d=4.05948e-16 t=50309
ban dao 	扳倒	c=1 d=3.10294e-57 t=50309
ban fa 	辦法	c=9 d=8.46346e-37 t=50309
ban ge 	半個	c=1 d=5.17203e-09 t=50309
ban ge yue 	半個月	c=3 d=3.42822e-24 t=50309
ban gong 	辦公	c=2 d=0.0196437 t=50309
ban gong shi 	辦公室	c=1 d=3.10178e-82 t=50309
ban ji 	扮雞	c=1 d=8.41432e-58 t=50309
ban jia 	搬家	c=2 d=3.40869e-45 t=50309
ban lai 	搬來	c=1 d=1.31372e-63 t=50309
ban nian 	半年	c=3 d=4.26293e-34 t=50309
ban pei 	般配	c=2 d=1.66513e-50 t=50309
ban tian 	半天	c=2 d=4.24286e-29 t=50309
ban yue 	半月	c=0 d=5.6597e-70 t=50309
ban zhang 	班長	c=1 d=2.89119e-49 t=50309
ban zou 	搬走	c=1 d=3.37995e-63 t=50309
bang 	幫	c=10 d=1.79249e-06 t=50309
bang 	棒	c=1 d=5.90796e-74 t=50309
bang 	榜	c=1 d=5.44722e-60 t=50309
bang bang 	幫幫	c=1 d=2.16036e-62 t=50309
bang bu liao 	幫不了	c=1 d=3.57178e-36 t=50309
bang dao 	幫到	c=1 d=7.5453e-99 t=50309
bang ding 	綁定	c=1 d=1.05007e-104 t=50309
bang le 	幫了	c=1 d=5.8785e-74 t=50309
bang mang 	幫忙	c=1 d=5.29468e-20 t=50309
bang ni 	幫你	c=18 d=0.873716 t=50309
bang ta 	幫他	c=1 d=2.6273e-70 t=50309
bang wo 	幫我	c=5 d=3.8594e-06 t=50309
bao 	保	c=5 d=4.23236e-07 t=50309
bao 	包	c=20 d=1.40662e-14 t=50309
bao 	報	c=10 d=2.55326e-08 t=50309
bao 	寶	c=2 d=7.6692e-26 t=50309
bao 	爆	c=2 d=5.16284e-50 t=50309
bao 	飽	c=1 d=3.32623e-51 t=50309
bao bao 	寶寶	c=6 d=2.86815e-13 t=50309
bao bao 	飽飽	c=1 d=4.98549e-18 t=50309
bao bei 	寶貝	c=2 d=3.61651e-06 t=50309
bao biao 	保鏢	c=1 d=1.70409e-65 t=50309
bao chi 	保持	c=12 d=2.72638e-05 t=50309
bao cun 	保存	c=33 d=1.69485e-05 t=50309
bao cuo 	報錯	c=26 d=4.70886e-15 t=50309
bao fa 	爆發	c=1 d=1.63872e-46 t=50309
bao gao 	報告	c=1 d=1.48909e-96 t=50309
bao guo 	包裹	c=1 d=1.87749e-58 t=50309
bao han 	包含	c=6 d=9.15517e-43 t=50309
bao hu 	保護	c=2 d=2.146e-13 t=50309
bao jian 	包間	c=1 d=2.77783e-49 t=50309
bao jin 	抱緊	c=1 d=5.88467e-57 t=50309
bao jing 	報警	c=4 d=2.98553e-15 t=50309
bao ku 	寶庫	c=1 d=1.26629e-101 t=50309
bao kuo 	包括	c=10 d=7.7359e-44 t=50309
bao le 	飽了	c=1 d=0.00134011 t=50309
